ville,lien,Agriculteurs exploitants,"Artisans, commerçants, chefs d'entreprise",Cadres et professions intellectuelles supérieures,Professions intermédiaires,Employés,Ouvriers,Aucun diplôme,Brevet des collèges,CAP / BEP ,Baccalauréat / brevet professionnel,De Bac +2 à Bac +4,Bac +5 et plus,Aucun diplôme (%) hommes,Aucun diplôme (%) femmes,Brevet des collèges (%) hommes,Brevet des collèges (%) femmes,CAP / BEP  (%) hommes,CAP / BEP  (%) femmes,Baccalauréat / brevet professionnel (%) hommes,Baccalauréat / brevet professionnel (%) femmes,De Bac +2 à Bac +4 (%) hommes,De Bac +2 à Bac +4 (%) femmes,Bac +5 et plus (%) hommes,Bac +5 et plus (%) femmes
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,55.0,1251.0,2113.0,4151.0,5088.0,2084.0,5168.0,1229.0,3473.0,4729.0,4985.0,2143.0,27.9,23.0,5.5,5.9,21.3,15.7,18.6,21.6,10.6,15.5,13.6,14.8
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,90.0,135.0,75.0,370.0,630.0,430.0,1380.0,201.0,811.0,473.0,352.0,91.0,41.2,40.2,5.4,7.1,21.1,15.6,12.3,15.0,7.2,7.9,7.0,6.4
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,135.0,589.0,410.0,1244.0,2554.0,1873.0,6596.0,648.0,2822.0,1873.0,1301.0,329.0,51.5,46.2,4.3,6.1,19.3,15.8,12.5,15.0,3.8,6.5,4.2,5.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,75.0,150.0,80.0,145.0,469.0,254.0,975.0,203.0,681.0,261.0,348.0,71.0,42.1,42.8,4.1,4.3,20.3,18.7,13.6,11.3,5.3,6.7,5.9,5.3
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,40.0,266.0,158.0,692.0,1710.0,858.0,2821.0,440.0,1654.0,1443.0,742.0,227.0,37.1,33.2,7.4,9.5,23.5,17.9,14.0,18.6,5.5,8.3,5.9,5.4
Baillif (97123),/management/ville/baillif/ville-97104,70.0,162.0,151.0,453.0,787.0,393.0,1670.0,266.0,974.0,670.0,543.0,162.0,41.5,37.0,5.2,6.7,23.2,19.3,13.2,15.3,4.9,8.3,5.5,5.6
Bouillante (97125),/management/ville/bouillante/ville-97106,0.0,200.0,180.0,570.0,1000.0,715.0,1885.0,314.0,1569.0,758.0,595.0,206.0,42.5,40.2,3.8,5.1,25.0,20.9,12.9,12.4,4.5,6.8,4.7,5.6
Deshaies (97126),/management/ville/deshaies/ville-97111,61.0,207.0,116.0,334.0,567.0,309.0,1147.0,188.0,821.0,519.0,413.0,136.0,43.6,38.2,4.4,6.5,23.4,18.1,12.8,15.0,6.4,10.0,5.0,4.7
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,20.0,195.0,334.0,828.0,1402.0,554.0,1849.0,411.0,1179.0,1071.0,872.0,319.0,32.3,28.5,6.0,6.9,21.0,16.5,16.9,19.5,8.2,10.8,8.4,9.2
Goyave (97128),/management/ville/goyave/ville-97114,15.0,243.0,387.0,952.0,1180.0,471.0,1506.0,240.0,1111.0,1039.0,997.0,324.0,25.7,24.5,4.3,4.7,24.5,18.5,21.3,25.0,9.2,12.4,10.5,9.2
La Désirade (97127),/management/ville/la-desirade/ville-97110,71.0,40.0,15.0,131.0,212.0,126.0,562.0,96.0,236.0,153.0,102.0,32.0,53.1,43.6,6.8,11.2,19.0,13.4,9.6,11.7,3.6,6.2,2.1,4.0
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,168.0,222.0,123.0,315.0,715.0,404.0,1558.0,286.0,859.0,510.0,417.0,132.0,48.0,44.3,3.9,5.5,21.0,18.9,8.9,9.7,5.0,7.4,5.4,5.4
Lamentin (97129),/management/ville/lamentin/ville-97115,62.0,625.0,719.0,1942.0,2627.0,1484.0,3478.0,499.0,2517.0,2300.0,2227.0,596.0,33.8,29.8,5.2,6.3,25.7,17.7,13.8,18.9,8.2,12.0,7.6,8.7
