ville,lien,Violences aux personnes,Vols et dégradations,Délinquance économique et financière,Autres crimes et délits,Violences gratuites,Violences crapuleuses,Violences sexuelles,Menaces de violence,Atteintes à la dignité,Cambriolages,Vols à main armée (arme à feu),Vols avec entrée par ruse,Vols liés à l'automobile,Vols de particuliers,Vols d'entreprises,Violation de domicile,Destruction et dégradations de biens,"Escroqueries, faux et contrefaçons","Trafic, revente et usage de drogues",Infractions au code du Travail,Infractions liées à l'immigration,Différends familiaux,Proxénétisme,Ports ou détentions d'arme prohibée,Recels,Délits des courses et jeux d'argent,Délits liés aux débits de boisson et de tabac,Atteintes à l'environnement,Délits liés à la chasse et la pêche,Cruauté et délits envers les animaux,Atteintes aux intérêts fondamentaux de la Nation
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Deshaies (97126),/management/ville/deshaies/ville-97111,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Baillif (97123),/management/ville/baillif/ville-97104,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Goyave (97128),/management/ville/goyave/ville-97114,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120,2603.0,4562.0,7.0,758.0,991.0,1007.0,74.0,501.0,30.0,881.0,140.0,1.0,1603.0,936.0,123.0,38.0,840.0,394.0,409.0,27.0,25.0,43.0,0.0,156.0,76.0,0.0,19.0,0.0,0.0,2.0,0.0
Le Moule (97160),/management/ville/le-moule/ville-97117,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,486.0,914.0,2.0,198.0,244.0,124.0,18.0,90.0,10.0,302.0,22.0,0.0,186.0,198.0,56.0,0.0,150.0,78.0,110.0,16.0,2.0,14.0,0.0,24.0,12.0,0.0,20.0,0.0,0.0,0.0,0.0
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Les Abymes (97139),/management/ville/les-abymes/ville-97101,2603.0,4562.0,7.0,758.0,991.0,1007.0,74.0,501.0,30.0,881.0,140.0,1.0,1603.0,936.0,123.0,38.0,840.0,394.0,409.0,27.0,25.0,43.0,0.0,156.0,76.0,0.0,19.0,0.0,0.0,2.0,0.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Port-Louis (97117),/management/ville/port-louis/ville-97122,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Bouillante (97125),/management/ville/bouillante/ville-97106,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
La Désirade (97127),/management/ville/la-desirade/ville-97110,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,117.0,273.0,0.0,39.0,84.0,13.0,5.0,15.0,0.0,103.0,2.0,0.0,70.0,58.0,6.0,1.0,33.0,17.0,11.0,2.0,2.0,4.0,0.0,7.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0
Lamentin (97129),/management/ville/lamentin/ville-97115,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Le Gosier (97190),/management/ville/le-gosier/ville-97113,2603.0,4562.0,7.0,758.0,991.0,1007.0,74.0,501.0,30.0,881.0,140.0,1.0,1603.0,936.0,123.0,38.0,840.0,394.0,409.0,27.0,25.0,43.0,0.0,156.0,76.0,0.0,19.0,0.0,0.0,2.0,0.0
Saint-Claude (97120),/management/ville/saint-claude/ville-97124,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Saint-Louis (97134),/management/ville/saint-louis/ville-97126,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Sainte-Rose (97115),/management/ville/sainte-rose/ville-97129,1413.0,3171.0,10.0,711.0,718.0,242.0,96.0,295.0,62.0,1034.0,66.0,8.0,777.0,859.0,239.0,26.0,162.0,267.0,312.0,32.0,13.0,101.0,0.0,86.0,156.0,0.0,2.0,1.0,0.0,2.0,2.0
Saint-François (97118),/management/ville/saint-francois/ville-97125,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
Vieux-Fort (97141),/management/ville/vieux-fort/ville-97133,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Terre-de-Haut (97137),/management/ville/terre-de-haut/ville-97131,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Vieux-Habitants (97119),/management/ville/vieux-habitants/ville-97134,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Trois-Rivières (97114),/management/ville/trois-rivieres/ville-97132,819.0,1695.0,3.0,804.0,450.0,75.0,63.0,180.0,51.0,564.0,22.0,1.0,379.0,503.0,88.0,27.0,111.0,175.0,375.0,65.0,8.0,81.0,0.0,173.0,62.0,1.0,11.0,4.0,0.0,6.0,2.0
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,1262.0,3220.0,8.0,646.0,616.0,208.0,79.0,299.0,60.0,877.0,50.0,3.0,882.0,1024.0,206.0,28.0,150.0,321.0,271.0,29.0,4.0,84.0,2.0,126.0,100.0,0.0,6.0,3.0,2.0,11.0,2.0
