ville,lien,Population,Densité de population,Nombre de ménages,Habitants par ménage,Nombre de familles,Naissances,Décès,Solde naturel,Hommes,Femmes,Moins de 15 ans,15 - 29 ans,30 - 44 ans,45 - 59 ans,60 - 74 ans,75 ans et plus,Familles monoparentales,Couples sans enfant,Couples avec enfant,Familles sans enfant,Familles avec un enfant,Familles avec deux enfants,Familles avec trois enfants,Familles avec quatre enfants ou plus,Personnes célibataires,Personnes mariées,Personnes divorcées,Personnes veuves,Personnes en concubinage,Personnes pacsées,Population étrangère,Hommes étrangers,Femmes étrangères,Moins de 15 ans étrangers,15-24 ans étrangers,25-54 ans étrangers,55 ans et plus étrangers,Population immigrée,Hommes immigrés,Femmes immigrées,Moins de 15 ans immigrés,15-24 ans immigrés,25-54 ans immigrés,55 ans et plus immigrés,Nombre d'habitants (2006),Nombre d'habitants (2007),Nombre d'habitants (2008),Nombre d'habitants (2009),Nombre d'habitants (2010),Nombre d'habitants (2011),Nombre d'habitants (2012),Nombre d'habitants (2013),Nombre d'habitants (2014),Nombre d'habitants (2015),Nombre d'habitants (2016),Nombre d'habitants (2017),Nombre d'habitants (2018),Nombre de naissances (1999),Nombre de naissances (2000),Nombre de naissances (2001),Nombre de naissances (2002),Nombre de naissances (2003),Nombre de naissances (2004),Nombre de naissances (2005),Nombre de naissances (2006),Nombre de naissances (2007),Nombre de naissances (2008),Nombre de naissances (2009),Nombre de naissances (2010),Nombre de naissances (2011),Nombre de naissances (2012),Nombre de naissances (2013),Nombre de naissances (2014),Nombre de naissances (2015),Nombre de naissances (2016),Nombre de naissances (2017),Nombre de naissances (2018),Nombre de décès (1999),Nombre de décès (2000),Nombre de décès (2001),Nombre de décès (2002),Nombre de décès (2003),Nombre de décès (2004),Nombre de décès (2005),Nombre de décès (2006),Nombre de décès (2007),Nombre de décès (2008),Nombre de décès (2009),Nombre de décès (2010),Nombre de décès (2011),Nombre de décès (2012),Nombre de décès (2013),Nombre de décès (2014),Nombre de décès (2015),Nombre de décès (2016),Nombre de décès (2017),Nombre de décès (2018),Nombre d'étrangers (2006),Nombre d'étrangers (2007),Nombre d'étrangers (2008),Nombre d'étrangers (2009),Nombre d'étrangers (2010),Nombre d'étrangers (2011),Nombre d'étrangers (2012),Nombre d'étrangers (2013),Nombre d'étrangers (2014),Nombre d'étrangers (2015),Nombre d'étrangers (2016),Nombre d'étrangers (2017),Nombre d'immigrés (2006),Nombre d'immigrés (2007),Nombre d'immigrés (2008),Nombre d'immigrés (2009),Nombre d'immigrés (2010),Nombre d'immigrés (2011),Nombre d'immigrés (2012),Nombre d'immigrés (2013),Nombre d'immigrés (2014),Nombre d'immigrés (2015),Nombre d'immigrés (2016),Nombre d'immigrés (2017)
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,4136.0,66.0,1920.0,2.2,1205.0,28.0,39.0,-11.0,2013.0,2262.0,630.0,635.0,568.0,1113.0,862.0,399.0,335.0,440.0,430.0,535.0,330.0,225.0,90.0,25.0,1394.0,1608.0,170.0,260.0,202.0,11.0,41.0,13.0,28.0,6.0,2.0,22.0,11.0,44.0,15.0,29.0,1.0,3.0,26.0,14.0,4751.0,4712.0,4676.0,4640.0,4775.0,4910.0,5045.0,5114.0,5185.0,4881.0,4578.0,4275.0,4136.0,75.0,73.0,77.0,67.0,56.0,65.0,54.0,55.0,54.0,59.0,41.0,42.0,48.0,38.0,30.0,34.0,28.0,34.0,39.0,43.0,44.0,47.0,34.0,47.0,37.0,38.0,33.0,47.0,36.0,30.0,41.0,46.0,41.0,44.0,51.0,52.0,39.0,45.0,45.0,46.0,32.0,32.0,32.0,32.0,44.0,45.0,45.0,45.0,45.0,46.0,42.0,41.0,28.0,28.0,28.0,28.0,43.0,46.0,46.0,46.0,46.0,50.0,46.0,44.0
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,31193.0,678.0,12810.0,2.4,8656.0,354.0,147.0,207.0,14083.0,16846.0,6444.0,5887.0,6305.0,6796.0,4126.0,1263.0,3676.0,2042.0,2938.0,2996.0,2998.0,1924.0,556.0,182.0,11258.0,7988.0,1764.0,806.0,2252.0,416.0,,,,,,,,,,,,,,,27906.0,28379.0,29503.0,29241.0,30251.0,30201.0,29976.0,30015.0,30547.0,31209.0,30868.0,30929.0,31193.0,404.0,396.0,421.0,417.0,394.0,429.0,442.0,460.0,488.0,462.0,442.0,440.0,431.0,423.0,421.0,394.0,394.0,393.0,309.0,362.0,99.0,92.0,106.0,105.0,98.0,111.0,123.0,112.0,106.0,115.0,106.0,118.0,118.0,116.0,113.0,150.0,131.0,115.0,152.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,
Deshaies (97126),/management/ville/deshaies/ville-97111,4033.0,130.0,1807.0,2.3,1179.0,33.0,37.0,-4.0,2009.0,2072.0,551.0,603.0,544.0,1111.0,861.0,351.0,395.0,395.0,390.0,612.0,293.0,202.0,46.0,25.0,1411.0,1330.0,211.0,220.0,308.0,50.0,92.0,45.0,47.0,15.0,4.0,36.0,37.0,117.0,56.0,61.0,9.0,4.0,48.0,56.0,4287.0,4322.0,4357.0,4394.0,4431.0,4356.0,4271.0,4185.0,4149.0,4114.0,4128.0,4081.0,4033.0,67.0,90.0,65.0,56.0,56.0,72.0,61.0,51.0,55.0,35.0,50.0,39.0,49.0,50.0,30.0,43.0,30.0,30.0,17.0,26.0,19.0,31.0,19.0,28.0,40.0,30.0,34.0,29.0,29.0,38.0,36.0,34.0,36.0,31.0,38.0,36.0,34.0,37.0,37.0,46.0,48.0,48.0,48.0,48.0,48.0,42.0,41.0,41.0,41.0,41.0,94.0,92.0,65.0,65.0,65.0,65.0,65.0,59.0,58.0,58.0,58.0,58.0,119.0,117.0
Goyave (97128),/management/ville/goyave/ville-97114,7588.0,127.0,3257.0,2.3,2245.0,82.0,38.0,44.0,3376.0,4179.0,1634.0,1307.0,1312.0,1795.0,1086.0,385.0,947.0,590.0,709.0,813.0,744.0,481.0,164.0,45.0,2769.0,1823.0,414.0,223.0,584.0,108.0,456.0,188.0,268.0,102.0,27.0,218.0,109.0,463.0,198.0,265.0,18.0,24.0,279.0,142.0,7575.0,7661.0,7745.0,7829.0,8065.0,8309.0,8079.0,7845.0,7612.0,7569.0,7526.0,7555.0,7588.0,79.0,104.0,91.0,102.0,125.0,127.0,126.0,145.0,153.0,146.0,104.0,119.0,128.0,108.0,122.0,87.0,91.0,103.0,74.0,88.0,23.0,28.0,28.0,26.0,29.0,24.0,41.0,42.0,38.0,25.0,34.0,46.0,32.0,44.0,33.0,37.0,57.0,30.0,43.0,26.0,393.0,384.0,388.0,392.0,404.0,416.0,386.0,377.0,365.0,364.0,361.0,456.0,267.0,367.0,371.0,374.0,384.0,398.0,348.0,336.0,328.0,327.0,325.0,463.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,10046.0,1738.0,4732.0,2.1,2607.0,94.0,118.0,-24.0,4501.0,5557.0,1846.0,1770.0,1546.0,2228.0,1664.0,799.0,1491.0,555.0,561.0,1029.0,813.0,512.0,174.0,78.0,4843.0,1717.0,418.0,469.0,739.0,25.0,743.0,335.0,408.0,240.0,58.0,354.0,91.0,668.0,256.0,412.0,20.0,59.0,402.0,187.0,12834.0,12451.0,12173.0,11894.0,11915.0,11730.0,11534.0,11150.0,10787.0,10443.0,10226.0,10058.0,10046.0,202.0,233.0,188.0,196.0,205.0,232.0,216.0,207.0,185.0,157.0,162.0,139.0,165.0,136.0,145.0,122.0,122.0,118.0,110.0,113.0,103.0,113.0,121.0,91.0,88.0,116.0,95.0,92.0,95.0,83.0,87.0,113.0,105.0,115.0,91.0,122.0,102.0,115.0,106.0,89.0,749.0,799.0,810.0,900.0,945.0,946.0,927.0,815.0,723.0,739.0,714.0,743.0,722.0,788.0,737.0,773.0,779.0,779.0,758.0,677.0,634.0,651.0,653.0,668.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,3293.0,71.0,1531.0,2.2,828.0,31.0,44.0,-13.0,1641.0,1660.0,476.0,478.0,472.0,835.0,634.0,352.0,279.0,304.0,244.0,454.0,160.0,120.0,55.0,40.0,1312.0,917.0,122.0,241.0,213.0,19.0,153.0,86.0,67.0,36.0,13.0,77.0,27.0,141.0,73.0,68.0,4.0,14.0,84.0,39.0,3469.0,3455.0,3442.0,3409.0,3381.0,3352.0,3330.0,3309.0,3310.0,3310.0,3310.0,3301.0,3293.0,58.0,67.0,52.0,41.0,47.0,45.0,38.0,44.0,43.0,38.0,28.0,22.0,36.0,27.0,31.0,20.0,20.0,11.0,19.0,6.0,47.0,38.0,34.0,37.0,35.0,33.0,39.0,33.0,41.0,31.0,24.0,27.0,32.0,29.0,39.0,37.0,48.0,34.0,34.0,46.0,88.0,88.0,88.0,119.0,118.0,118.0,118.0,118.0,153.0,153.0,153.0,153.0,84.0,84.0,84.0,107.0,105.0,105.0,105.0,104.0,141.0,141.0,141.0,141.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,18131.0,176.0,8022.0,2.3,5113.0,214.0,184.0,30.0,8626.0,9644.0,3326.0,2944.0,2683.0,4325.0,3355.0,1439.0,2135.0,1386.0,1592.0,2253.0,1364.0,987.0,372.0,138.0,7133.0,4587.0,805.0,885.0,1433.0,101.0,,,,,,,,,,,,,,,19610.0,19520.0,19339.0,19104.0,19321.0,19448.0,19407.0,19201.0,19107.0,18980.0,18923.0,18270.0,18131.0,333.0,369.0,356.0,310.0,349.0,340.0,346.0,334.0,283.0,262.0,250.0,268.0,253.0,223.0,207.0,225.0,255.0,219.0,195.0,195.0,156.0,159.0,89.0,160.0,141.0,145.0,143.0,139.0,141.0,161.0,186.0,182.0,157.0,140.0,173.0,177.0,133.0,181.0,167.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,
Le Gosier (97190),/management/ville/le-gosier/ville-97113,26692.0,591.0,12169.0,2.2,7413.0,359.0,229.0,130.0,12553.0,14230.0,4850.0,4125.0,5115.0,6100.0,4690.0,1696.0,2483.0,2325.0,2605.0,3288.0,2146.0,1320.0,481.0,178.0,8936.0,7605.0,1396.0,961.0,2569.0,465.0,,,,,,,,,,,,,,,27370.0,27193.0,26895.0,26550.0,26311.0,26739.0,26613.0,26900.0,27590.0,27057.0,26666.0,26783.0,26692.0,430.0,470.0,503.0,397.0,466.0,489.0,517.0,465.0,506.0,453.0,450.0,423.0,448.0,463.0,411.0,453.0,386.0,381.0,365.0,324.0,138.0,152.0,129.0,165.0,89.0,149.0,136.0,179.0,178.0,168.0,189.0,178.0,172.0,161.0,206.0,209.0,185.0,197.0,188.0,203.0,,,,,,,,,,,,,,,,,,,,,,,,
Baillif (97123),/management/ville/baillif/ville-97104,5404.0,222.0,2543.0,2.2,1638.0,46.0,52.0,-6.0,2518.0,3087.0,941.0,750.0,784.0,1254.0,1171.0,612.0,722.0,517.0,399.0,883.0,339.0,291.0,97.0,27.0,2173.0,1518.0,250.0,274.0,412.0,38.0,225.0,99.0,126.0,41.0,16.0,97.0,71.0,255.0,104.0,151.0,9.0,18.0,141.0,87.0,6086.0,5836.0,5586.0,5337.0,5214.0,5094.0,5287.0,5479.0,5670.0,5739.0,5809.0,5605.0,5404.0,92.0,97.0,107.0,87.0,104.0,97.0,101.0,93.0,88.0,84.0,61.0,73.0,62.0,67.0,52.0,67.0,52.0,66.0,35.0,56.0,41.0,47.0,45.0,41.0,38.0,42.0,47.0,45.0,31.0,50.0,39.0,51.0,35.0,42.0,41.0,60.0,51.0,49.0,55.0,55.0,318.0,243.0,233.0,223.0,217.0,214.0,275.0,288.0,296.0,298.0,303.0,225.0,252.0,240.0,231.0,221.0,217.0,211.0,232.0,240.0,248.0,250.0,254.0,255.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,7778.0,345.0,3332.0,2.3,2130.0,70.0,65.0,5.0,3527.0,4268.0,1436.0,1243.0,1261.0,1831.0,1334.0,596.0,913.0,529.0,688.0,873.0,688.0,414.0,120.0,35.0,3098.0,1909.0,346.0,361.0,586.0,60.0,230.0,105.0,125.0,65.0,13.0,101.0,51.0,253.0,103.0,150.0,6.0,14.0,141.0,92.0,8033.0,8088.0,8143.0,8043.0,7949.0,7855.0,7820.0,7786.0,7803.0,7808.0,7813.0,7795.0,7778.0,134.0,121.0,141.0,128.0,122.0,113.0,111.0,113.0,103.0,91.0,82.0,93.0,105.0,101.0,91.0,80.0,91.0,100.0,83.0,69.0,56.0,53.0,49.0,65.0,48.0,53.0,68.0,62.0,52.0,70.0,60.0,68.0,53.0,64.0,63.0,61.0,65.0,77.0,58.0,77.0,239.0,240.0,242.0,188.0,187.0,185.0,185.0,184.0,230.0,230.0,230.0,230.0,282.0,284.0,286.0,223.0,220.0,218.0,218.0,217.0,253.0,253.0,253.0,253.0
