ville,lien,Actifs en emploi,Aides familiaux,Autres personnes sans activité de 15-64 ans,CDD,CDI et fonction publique,Chômeurs,Emplois aidés,Employeurs,Femmes à temps partiel,Hommes à temps partiel,Inactifs,Indépendants,Intérimaires,Les 15 à 24 ans à temps partiel,Les 25 à 54 ans à temps partiel,Les 55 à 64 ans à temps partiel,Non-salariés,Part des actifs 15-24 ans (%),Part des actifs 25-54 ans (%),Part des actifs 55-64 ans (%),Part des actifs femmes (%),Part des actifs hommes (%),Retraités et pré-retraités de 15-64 ans,Salariés,Salariés à temps partiel,Stages et apprentissages,Stagiaires et étudiants de 15-64 ans,Taux d'activité femmes (%),Taux d'activité hommes (%),Taux d'emploi 15-24 ans (%),Taux d'emploi 25-54 ans (%),Taux d'emploi 55-64 ans (%),Taux d'emploi femmes (%),Taux d'emploi hommes (%),Taux de chômage 15-24 ans (%),Taux de chômage 25-54 ans (%),Taux de chômage 55-64 ans (%),Taux de chômage femmes (%),Taux de chômage hommes (%)
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,1338.0,4.0,413.0,145.0,884.0,437.0,20.0,60.0,144.0,96.0,862.0,229.0,13.0,25.0,152.0,51.0,293.0,9.5,68.3,22.2,49.5,50.5,154.0,1075.0,240.0,13.0,295.0,20.2,20.6,51.8,75.7,84.5,72.2,78.5,48.2,24.3,15.5,27.8,21.5
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,12238.0,13.0,2580.0,1365.0,8707.0,2931.0,93.0,716.0,896.0,306.0,5558.0,1330.0,94.0,203.0,766.0,181.0,2059.0,10.3,72.9,16.8,56.6,43.4,688.0,10454.0,1202.0,194.0,2289.0,27.4,20.9,70.1,80.5,87.9,79.1,82.7,29.9,19.5,12.1,20.9,17.3
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,4719.0,3.0,1711.0,511.0,3348.0,3106.0,58.0,320.0,518.0,280.0,3450.0,546.0,32.0,115.0,476.0,179.0,868.0,10.3,68.7,21.0,52.7,47.3,514.0,4019.0,797.0,69.0,1226.0,22.4,20.1,38.0,60.2,71.7,55.2,66.1,62.0,39.8,28.3,44.8,34.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,2546.0,6.0,926.0,328.0,1811.0,1748.0,40.0,93.0,244.0,115.0,1940.0,300.0,11.0,29.0,252.0,78.0,398.0,9.5,70.4,20.1,56.9,43.1,253.0,2212.0,359.0,23.0,761.0,23.7,18.0,29.4,58.5,76.1,58.0,60.9,70.6,41.5,23.9,42.0,39.0
Bouillante (97125),/management/ville/bouillante/ville-97106,1959.0,5.0,683.0,336.0,1221.0,1004.0,58.0,114.0,337.0,149.0,1322.0,231.0,11.0,42.0,332.0,101.0,350.0,8.9,70.2,20.9,53.3,46.7,208.0,1649.0,486.0,23.0,431.0,22.1,19.4,41.1,66.6,75.2,62.8,69.9,58.9,33.4,24.8,37.2,30.1
Deshaies (97126),/management/ville/deshaies/ville-97111,1289.0,7.0,424.0,133.0,767.0,481.0,32.0,105.0,156.0,56.0,822.0,257.0,12.0,26.0,138.0,41.0,369.0,8.9,68.6,22.5,50.1,49.9,142.0,960.0,211.0,16.0,256.0,21.4,21.3,46.8,73.9,79.9,70.9,74.9,53.2,26.1,20.1,29.1,25.3
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,877.0,2.0,484.0,149.0,491.0,300.0,25.0,53.0,131.0,70.0,819.0,162.0,3.0,26.0,138.0,29.0,216.0,9.8,70.3,20.0,49.8,50.1,99.0,684.0,200.0,16.0,236.0,17.5,17.6,60.9,74.7,80.0,73.0,76.1,39.1,25.3,20.0,27.1,24.1
Le Moule (97160),/management/ville/le-moule/ville-97117,6613.0,26.0,1569.0,881.0,4237.0,3401.0,65.0,484.0,640.0,288.0,3679.0,933.0,39.0,113.0,659.0,139.0,1442.0,8.5,74.0,17.5,52.6,47.4,644.0,5291.0,929.0,70.0,1465.0,23.5,21.2,40.8,66.1,77.9,63.7,68.6,59.2,33.9,22.1,36.3,31.4
La Désirade (97127),/management/ville/la-desirade/ville-97110,419.0,0.0,153.0,54.0,199.0,194.0,27.0,56.0,83.0,44.0,276.0,84.0,2.0,14.0,77.0,33.0,141.0,10.1,71.1,18.8,47.0,53.0,63.0,289.0,127.0,6.0,61.0,19.4,21.9,54.8,69.0,72.2,64.9,71.4,45.2,31.0,27.8,35.1,28.6
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,8936.0,9.0,1613.0,776.0,6340.0,2910.0,88.0,762.0,766.0,233.0,3851.0,997.0,44.0,109.0,690.0,177.0,1767.0,6.6,75.6,17.8,53.3,46.7,571.0,7356.0,999.0,109.0,1668.0,25.5,22.3,44.6,76.4,83.0,73.1,78.1,55.4,23.6,17.0,26.9,21.9
