ville,lien,Nombre d'entreprises,- dont commerces et services aux particuliers,Entreprises créées,Commerces,Services aux particuliers,Services publics,Epiceries,Boulangeries,"Boucheries, charcuteries","Librairies, papeteries, journaux",Drogueries et quincalleries,Banques,Bureaux de Poste,"Garages, réparation automobile",Electriciens,Grandes surfaces,Commerces spécialisés alimentaires,Commerces spécialisés non alimentaires,Services généraux,Services automobiles,Services du bâtiment,Autres services,2005 (nbre de creations),2006 (nbre de creations),2007 (nbre de creations),2008 (nbre de creations),2009 (nbre de creations),2010 (nbre de creations),2011 (nbre de creations),2012 (nbre de creations),2013 (nbre de creations),2014 (nbre de creations),2015 (nbre de creations),2016 (nbre de creations),2017 (nbre de creations),2018 (nbre de creations),2019 (nbre de creations),2005 (nbre d'entreprises),2006 (nbre d'entreprises),2007 (nbre d'entreprises),2008 (nbre d'entreprises),2009 (nbre d'entreprises),2010 (nbre d'entreprises),2011 (nbre d'entreprises),2012 (nbre d'entreprises),2013 (nbre d'entreprises),2014 (nbre d'entreprises),2015 (nbre d'entreprises),2016 (nbre d'entreprises),2017 (nbre d'entreprises),2018 (nbre d'entreprises),2019 (nbre d'entreprises)
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,8795.0,2588.0,720.0,761.0,1823.0,4.0,74.0,53.0,10.0,24.0,,31.0,2.0,158.0,111.0,21.0,148.0,592.0,37.0,322.0,715.0,749.0,480.0,532.0,564.0,577.0,636.0,782.0,791.0,682.0,642.0,566.0,571.0,612.0,645.0,738.0,720.0,4136.0,4287.0,5127.0,4941.0,5381.0,5734.0,6072.0,6227.0,6459.0,6922.0,7126.0,7362.0,7850.0,8323.0,8795.0
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,396.0,171.0,56.0,38.0,133.0,0.0,21.0,5.0,1.0,1.0,,0.0,1.0,8.0,5.0,2.0,28.0,8.0,2.0,26.0,55.0,50.0,31.0,28.0,34.0,21.0,48.0,53.0,41.0,35.0,34.0,38.0,22.0,32.0,28.0,32.0,56.0,253.0,250.0,255.0,268.0,276.0,311.0,320.0,311.0,322.0,339.0,354.0,344.0,373.0,383.0,396.0
Baillif (97123),/management/ville/baillif/ville-97104,429.0,191.0,51.0,34.0,157.0,0.0,6.0,8.0,2.0,1.0,,1.0,1.0,16.0,6.0,3.0,20.0,11.0,3.0,28.0,68.0,58.0,22.0,40.0,37.0,34.0,41.0,50.0,36.0,51.0,32.0,34.0,25.0,37.0,33.0,48.0,51.0,324.0,288.0,312.0,315.0,335.0,343.0,354.0,355.0,360.0,371.0,373.0,372.0,386.0,407.0,429.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,532.0,200.0,65.0,34.0,165.0,1.0,11.0,10.0,0.0,3.0,,0.0,2.0,17.0,8.0,0.0,23.0,11.0,2.0,37.0,82.0,44.0,43.0,59.0,57.0,44.0,56.0,68.0,86.0,58.0,69.0,55.0,59.0,56.0,46.0,43.0,65.0,330.0,320.0,353.0,372.0,389.0,428.0,428.0,440.0,438.0,466.0,457.0,450.0,488.0,500.0,532.0
Deshaies (97126),/management/ville/deshaies/ville-97111,550.0,228.0,62.0,44.0,183.0,1.0,16.0,8.0,3.0,0.0,,0.0,1.0,5.0,7.0,1.0,29.0,14.0,2.0,19.0,62.0,100.0,32.0,53.0,41.0,61.0,62.0,45.0,45.0,55.0,36.0,47.0,45.0,62.0,41.0,49.0,62.0,302.0,290.0,335.0,342.0,390.0,418.0,415.0,407.0,425.0,443.0,458.0,467.0,506.0,532.0,550.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,1810.0,815.0,110.0,301.0,496.0,18.0,29.0,19.0,10.0,5.0,,20.0,1.0,28.0,28.0,7.0,70.0,224.0,25.0,90.0,162.0,219.0,118.0,138.0,124.0,137.0,125.0,164.0,177.0,133.0,143.0,131.0,107.0,74.0,88.0,117.0,110.0,1574.0,1494.0,1572.0,1599.0,1685.0,1713.0,1747.0,1710.0,1698.0,1770.0,1772.0,1767.0,1769.0,1790.0,1810.0
Bouillante (97125),/management/ville/bouillante/ville-97106,723.0,298.0,91.0,68.0,228.0,2.0,22.0,10.0,5.0,3.0,,1.0,2.0,6.0,20.0,3.0,38.0,27.0,6.0,25.0,116.0,81.0,57.0,47.0,52.0,55.0,72.0,87.0,80.0,86.0,82.0,77.0,54.0,49.0,66.0,76.0,91.0,444.0,446.0,484.0,484.0,514.0,550.0,570.0,591.0,594.0,640.0,651.0,645.0,652.0,685.0,723.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,278.0,125.0,14.0,31.0,94.0,0.0,16.0,4.0,4.0,0.0,,0.0,1.0,10.0,6.0,1.0,25.0,5.0,1.0,19.0,41.0,33.0,24.0,14.0,11.0,15.0,19.0,20.0,15.0,14.0,22.0,17.0,17.0,11.0,17.0,14.0,14.0,239.0,228.0,228.0,222.0,226.0,227.0,232.0,228.0,228.0,241.0,254.0,254.0,252.0,265.0,278.0
Goyave (97128),/management/ville/goyave/ville-97114,588.0,201.0,65.0,46.0,155.0,0.0,11.0,9.0,2.0,1.0,,0.0,1.0,9.0,13.0,1.0,26.0,19.0,1.0,34.0,75.0,45.0,51.0,66.0,56.0,57.0,70.0,71.0,81.0,71.0,63.0,67.0,51.0,51.0,69.0,61.0,65.0,290.0,293.0,338.0,356.0,386.0,415.0,412.0,404.0,426.0,458.0,464.0,485.0,533.0,561.0,588.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,1489.0,649.0,184.0,174.0,471.0,4.0,64.0,21.0,15.0,1.0,,6.0,3.0,57.0,33.0,3.0,104.0,67.0,12.0,109.0,203.0,147.0,108.0,120.0,125.0,123.0,161.0,174.0,163.0,163.0,154.0,145.0,131.0,128.0,150.0,148.0,184.0,1064.0,1014.0,1084.0,1093.0,1160.0,1238.0,1238.0,1239.0,1254.0,1310.0,1326.0,1331.0,1372.0,1433.0,1489.0
