ville,lien,prix_m2,Nombre de logements,Nombre moyen d'habitant(s) par logement,Résidences principales,Résidences secondaires,Logements vacants,Maisons,Appartements,Autres types de logements,Propriétaires,Locataires,- dont locataires HLM,Locataires hébergés à titre gratuit,Studios,2 pièces,3 pièces,4 pièces,5 pièces et plus
Deshaies (97126),/management/ville/deshaies/ville-97111,3039.0,3157.0,1.3,1794.0,1119.0,244.0,2887.0,202.0,68.0,1405.0,282.0,56.0,107.0,0.0,11.0,32.0,22.0,0.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,3545.0,4227.0,1.8,3330.0,212.0,685.0,2953.0,1206.0,68.0,1975.0,1202.0,473.0,153.0,11.0,76.0,513.0,230.0,9.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,1978.0,2363.0,1.4,1522.0,345.0,496.0,2181.0,104.0,78.0,1244.0,216.0,58.0,62.0,0.0,5.0,29.0,31.0,4.0
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,1776.0,2846.0,1.5,1899.0,461.0,486.0,2719.0,111.0,16.0,1651.0,171.0,62.0,77.0,0.0,13.0,57.0,42.0,9.0
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,3172.0,3717.0,1.3,2347.0,512.0,858.0,3116.0,482.0,119.0,1621.0,606.0,219.0,119.0,2.0,20.0,149.0,90.0,12.0
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,2437.0,14259.0,2.2,12804.0,189.0,1267.0,9056.0,5138.0,65.0,6233.0,6136.0,3457.0,434.0,142.0,302.0,2017.0,1465.0,196.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,5969.0,6143.0,1.6,4732.0,48.0,1363.0,3433.0,2663.0,47.0,1800.0,2685.0,1526.0,248.0,166.0,217.0,749.0,595.0,88.0
La Désirade (97127),/management/ville/la-desirade/ville-97110,3560.0,1097.0,1.3,687.0,252.0,158.0,1024.0,42.0,31.0,539.0,94.0,10.0,54.0,11.0,9.0,0.0,0.0,0.0
Goyave (97128),/management/ville/goyave/ville-97114,3039.0,3706.0,2.0,3256.0,96.0,354.0,2548.0,1109.0,49.0,1617.0,1477.0,1006.0,162.0,4.0,160.0,666.0,387.0,10.0
Bouillante (97125),/management/ville/bouillante/ville-97106,3824.0,4114.0,1.7,3054.0,266.0,794.0,3750.0,326.0,38.0,2271.0,593.0,192.0,190.0,10.0,20.0,123.0,59.0,8.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,8619.0,10087.0,1.8,8021.0,369.0,1697.0,8923.0,1072.0,92.0,5649.0,1928.0,538.0,443.0,3.0,119.0,585.0,212.0,22.0
Baillif (97123),/management/ville/baillif/ville-97104,2832.0,3230.0,1.7,2538.0,168.0,524.0,2843.0,342.0,45.0,1733.0,674.0,142.0,131.0,0.0,19.0,115.0,43.0,5.0
Lamentin (97129),/management/ville/lamentin/ville-97115,3039.0,8486.0,2.0,6951.0,96.0,1439.0,6807.0,1632.0,47.0,4252.0,2374.0,1312.0,326.0,0.0,208.0,1077.0,583.0,20.0
Le Moule (97160),/management/ville/le-moule/ville-97117,1776.0,12509.0,1.8,9482.0,1168.0,1859.0,10370.0,2083.0,56.0,6310.0,2546.0,811.0,626.0,24.0,176.0,663.0,384.0,30.0
Les Abymes (97139),/management/ville/les-abymes/ville-97101,1238.0,30711.0,1.7,24116.0,762.0,5832.0,18140.0,12447.0,124.0,10968.0,12131.0,6668.0,1017.0,504.0,1417.0,4292.0,3065.0,598.0
Le Gosier (97190),/management/ville/le-gosier/ville-97113,2810.0,16799.0,1.6,12172.0,2089.0,2539.0,12501.0,4226.0,72.0,7140.0,4512.0,646.0,519.0,3.0,174.0,563.0,151.0,18.0
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,1776.0,9712.0,1.8,7537.0,416.0,1759.0,8391.0,1190.0,131.0,4979.0,2020.0,865.0,539.0,8.0,162.0,831.0,243.0,1.0
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,1776.0,4181.0,2.0,3313.0,203.0,664.0,3919.0,224.0,38.0,2618.0,514.0,141.0,181.0,0.0,17.0,110.0,41.0,2.0
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,3039.0,11960.0,2.0,10260.0,753.0,947.0,9053.0,2791.0,116.0,6233.0,3501.0,1388.0,525.0,11.0,222.0,982.0,550.0,61.0
Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120,1348.0,10564.0,1.5,8136.0,941.0,1487.0,1273.0,9265.0,26.0,1307.0,6668.0,4861.0,160.0,627.0,916.0,1636.0,1599.0,326.0
