ville,lien,Code Insee,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2017),Ville fleurie,Ville d'art et d'histoire,Ville internet,Pavillon bleu,Altitude min.,Altitude max.,Latitude,Longitude,Superficie (surface)
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,97119.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationduNordGrandeTerre,97131.0,"Canaliens,Canaliennes",8212hab.,n°1275,116hab/km²,"26,8%",Aucunefleur,non,Aucunearobase,non,0mètre(s),70mètre(s),16.3894,-61.4498,"70,5km²"
Goyave (97128),/management/ville/goyave/ville-97114,97114.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationduNordBasse-Terre,97128.0,"Goyaviens,Goyaviennes",7588hab.,n°1387,127hab/km²,"29,5%",Aucunefleur,non,Aucunearobase,non,0mètre(s),1298mètre(s),16.1217,-61.6138,"59,9km²"
Le Gosier (97190),/management/ville/le-gosier/ville-97113,97113.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationlaRiviéraduLevant,97190.0,"Gosiériens,Gosiériennes",26692hab.,n°324,591hab/km²,"22,9%",Aucunefleur,non,2arobase(s),non,0mètre(s),125mètre(s),16.2252,-61.4699,"45,2km²"
Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128,97128.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationlaRiviéraduLevant,97180.0,nan,23767hab.,n°379,296hab/km²,"33,3%",Aucunefleur,non,2arobase(s),non,0mètre(s),135mètre(s),16.2572,-61.3875,"80,3km²"
Bouillante (97125),/management/ville/bouillante/ville-97106,97106.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationGrandSudCaraïbe,97125.0,"Bouillantais,Bouillantaises",6935hab.,n°1523,160hab/km²,"33,9%",Aucunefleur,non,Aucunearobase,non,0mètre(s),1088mètre(s),16.1437,-61.7542,"43,5km²"
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,97108.0,Guadeloupe,Guadeloupe,CommunautédecommunesdeMarie-Galante,97140.0,"Capesterriens,Capesterriennes",3293hab.,n°3345,71hab/km²,"25,5%",Aucunefleur,non,Aucunearobase,non,0mètre(s),204mètre(s),15.92,-61.23,"46,2km²"
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,97103.0,Guadeloupe,Guadeloupe,nan,97122.0,"Baie-Mahaultiens,Baie-Mahaultiennes",31193hab.,n°260,678hab/km²,"19,3%",Aucunefleur,non,5arobase(s),non,0mètre(s),112mètre(s),16.2512,-61.5929,"46,0km²"
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,97118.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationduNordBasse-Terre,97170.0,"Petit-Bourgeois,Petit-Bourgeoises",24522hab.,n°366,189hab/km²,"24,6%",Aucunefleur,non,2arobase(s),non,0mètre(s),1155mètre(s),16.1716,-61.6572,"129,9km²"
La Désirade (97127),/management/ville/la-desirade/ville-97110,97110.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationlaRiviéraduLevant,97127.0,"Désiradiens,Désiradiennes",1432hab.,n°7264,68hab/km²,"31,6%",Aucunefleur,non,Aucunearobase,non,0mètre(s),280mètre(s),16.3118,-61.0527,"21,1km²"
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,97121.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationduNordBasse-Terre,97116.0,"Pointe-Noirais,Pointe-Noiraises",6069hab.,n°1794,102hab/km²,"35,2%",Aucunefleur,non,Aucunearobase,non,0mètre(s),775mètre(s),16.2271,-61.7633,"59,7km²"
Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130,97130.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationGrandSudCaraïbe,97136.0,"Saintois,Saintoises",1011hab.,n°9838,149hab/km²,"34,4%",Aucunefleur,non,Aucunearobase,non,0mètre(s),293mètre(s),15.8544,-61.6341,"6,8km²"
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,97109.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationGrandSudCaraïbe,97113.0,"Gourbeyriens,Gourbeyriennes",7778hab.,n°1346,345hab/km²,"27,6%",Aucunefleur,non,Aucunearobase,non,0mètre(s),1397mètre(s),15.9939,-61.6864,"22,5km²"
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,97107.0,Guadeloupe,Guadeloupe,Communautéd'agglomérationGrandSudCaraïbe,97130.0,"Capesterriens,Capesterriennes",18131hab.,n°521,176hab/km²,"39,7%",Aucunefleur,non,Aucunearobase,non,0mètre(s),1450mètre(s),16.0553,-61.6117,"103,3km²"
