ville,lien,Salaire moyen des cadres,Salaire moyen des professions intermédiaires,Salaire moyen des employés,Salaire moyen des ouvriers,Salaire moyen des femmes,Salaire moyen des hommes,Salaire moyen des moins de 26 ans,Salaire moyen des 26-49 ans,Salaire moyen des 50 ans et plus,Revenu mensuel moyen par foyer fiscal,Nombre de foyers fiscaux,Nombre moyen d'habitant(s) par foyer,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,3362.0,2253.0,1717.0,1518.0,1922.0,2043.0,1501.0,1899.0,2036.0,1281.0,2817.0,1.5,662.0,901.0,951.0,968.0,1012.0,1064.0,1110.0,1138.0,1196.0,1195.0,1211.0,1246.0
Baillif (97123),/management/ville/baillif/ville-97104,3372.0,2297.0,1703.0,1459.0,1883.0,2042.0,1398.0,1863.0,1975.0,1329.0,3537.0,1.5,791.0,984.0,1101.0,1004.0,1061.0,1078.0,1133.0,1169.0,1182.0,1174.0,1187.0,1203.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,3549.0,2394.0,1701.0,1602.0,2076.0,2121.0,1581.0,1952.0,2348.0,1588.0,4869.0,1.6,986.0,1265.0,1292.0,1334.0,1367.0,1367.0,1399.0,1456.0,1460.0,1513.0,1522.0,1526.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,3374.0,2244.0,1715.0,1409.0,1866.0,1851.0,1470.0,1796.0,2030.0,1071.0,6875.0,1.5,770.0,979.0,992.0,1006.0,998.0,996.0,1011.0,1014.0,1045.0,1036.0,1048.0,1045.0
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,3868.0,2559.0,1907.0,1561.0,2396.0,2851.0,1511.0,2313.0,2779.0,2201.0,17120.0,1.8,1480.0,1895.0,1960.0,1954.0,1955.0,1976.0,2012.0,2071.0,2059.0,2071.0,2074.0,2064.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,2277.0,1946.0,1583.0,1446.0,1650.0,1876.0,1322.0,1653.0,1740.0,982.0,2117.0,1.6,521.0,722.0,787.0,768.0,821.0,835.0,853.0,869.0,917.0,913.0,920.0,960.0
Bouillante (97125),/management/ville/bouillante/ville-97106,2928.0,2538.0,1567.0,1417.0,1840.0,1927.0,1497.0,1895.0,1816.0,1213.0,4503.0,1.5,652.0,860.0,910.0,900.0,948.0,1008.0,1020.0,1035.0,1065.0,1089.0,1116.0,1127.0
Deshaies (97126),/management/ville/deshaies/ville-97111,3885.0,2234.0,1644.0,1477.0,1853.0,2097.0,1485.0,1868.0,1923.0,1395.0,2568.0,1.6,922.0,1029.0,1092.0,1076.0,1105.0,1133.0,1225.0,1245.0,1381.0,1374.0,1310.0,1341.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,3630.0,2330.0,1690.0,1496.0,1942.0,2001.0,1458.0,1933.0,2064.0,1101.0,12133.0,1.5,645.0,825.0,871.0,889.0,916.0,946.0,975.0,1004.0,1027.0,1024.0,1053.0,1079.0
Goyave (97128),/management/ville/goyave/ville-97114,3818.0,2428.0,1831.0,1667.0,2182.0,2578.0,1441.0,2136.0,2510.0,1523.0,4311.0,1.8,969.0,1273.0,1297.0,1261.0,1299.0,1314.0,1368.0,1378.0,1441.0,1424.0,1445.0,1476.0
