ville,lien,Allocataires CAF,Bénéficiaires du RSA, - bénéficiaires du RSA majoré, - bénéficiaires du RSA socle,Bénéficiaires de l'aide au logement, - bénéficiaires de l'APL (aide personnalisée au logement), - bénéficiaires de l'ALF (allocation de logement à caractère familial), - bénéficiaires de l'ALS (allocation de logement à caractère social), - bénéficiaires de l'Allocation pour une location immobilière, - bénéficiaires de l'Allocation pour un achat immobilier,Bénéficiaires des allocations familiales, - bénéficiaires du complément familial, - bénéficiaires de l'allocation de soutien familial, - bénéficiaires de l'allocation de rentrée scolaire,Médecins généralistes,Masseurs-kinésithérapeutes,Infirmiers,Spécialistes ORL,Ophtalmologistes,Dermatologues,Sage-femmes,Pédiatres,Gynécologues,Pharmacies,Urgences,Ambulances,Etablissements de santé de court séjour,Etablissements de santé de moyen séjour,Etablissements de santé de long séjour,Etablissement d'accueil du jeune enfant,Maisons de retraite,Etablissements pour enfants handicapés,Etablissements pour adultes handicapés,Bénéficiaires de la PAJE, - bénéficiaires de l'allocation de base, - bénéficiaires du complément mode de garde pour une assistante maternelle, - bénéficiaires du complément de libre choix d'activité (CLCA ou COLCA), - bénéficiaires de la prime naissance ou adoption,Nombre d'allocataires CAF (2009),Nombre d'allocataires CAF (2010),Nombre d'allocataires CAF (2011),Nombre d'allocataires CAF (2012),Nombre d'allocataires CAF (2013),Nombre d'allocataires CAF (2014),Nombre d'allocataires CAF (2015),Nombre d'allocataires CAF (2016),Nombre d'allocataires CAF (2017),Nombre de bénéficiaires RSA (2011),Nombre de bénéficiaires RSA (2012),Nombre de bénéficiaires RSA (2013),Nombre de bénéficiaires RSA (2014),Nombre de bénéficiaires RSA (2015),Nombre de bénéficiaires RSA (2016),Nombre de bénéficiaires RSA (2017),Nombre de bénéficiaires APL (2009),Nombre de bénéficiaires APL (2010),Nombre de bénéficiaires APL (2011),Nombre de bénéficiaires APL (2012),Nombre de bénéficiaires APL (2013),Nombre de bénéficiaires APL (2014),Nombre de bénéficiaires APL (2015),Nombre de bénéficiaires APL (2016),Nombre de bénéficiaires APL (2017),Nombre de bénéficiaires des allocations familiales (2009),Nombre de bénéficiaires des allocations familiales (2010),Nombre de bénéficiaires des allocations familiales (2011),Nombre de bénéficiaires des allocations familiales (2012),Nombre de bénéficiaires des allocations familiales (2013),Nombre de bénéficiaires des allocations familiales (2014),Nombre de bénéficiaires des allocations familiales (2015),Nombre de bénéficiaires des allocations familiales (2016),Nombre de bénéficiaires des allocations familiales (2017),Nombre de bénéficiaires des allocations familiales (2018)
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,7536.0,2070.0,275.0,1795.0,2775.0,,1853.0,,2703.0,72.0,4664.0,506.0,1501.0,2373.0,36.0,53.0,75.0,2.0,4.0,3.0,13.0,1.0,8.0,16.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0,4.0,1.0,906.0,826.0,155.0,21.0,33.0,6332.0,6427.0,6519.0,6575.0,6758.0,6946.0,7106.0,7321.0,7536.0,1869.0,2024.0,2248.0,2458.0,2629.0,2101.0,2070.0,2343.0,2460.0,2617.0,2656.0,2787.0,2861.0,2886.0,2861.0,2775.0,4377.0,4342.0,4282.0,4294.0,4359.0,4351.0,4429.0,4393.0,4586.0,4664.0
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,1023.0,333.0,37.0,296.0,177.0,,110.0,,157.0,20.0,516.0,50.0,135.0,308.0,2.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,,11.0,5.0,5.0,980.0,977.0,979.0,950.0,946.0,956.0,966.0,983.0,1023.0,376.0,364.0,395.0,411.0,440.0,348.0,333.0,157.0,148.0,152.0,157.0,162.0,181.0,198.0,181.0,177.0,613.0,596.0,573.0,545.0,528.0,530.0,513.0,500.0,528.0,516.0
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,5197.0,2315.0,296.0,2019.0,1474.0,,911.0,,1390.0,84.0,2398.0,290.0,981.0,1582.0,7.0,19.0,69.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,470.0,458.0,34.0,7.0,13.0,4658.0,4613.0,4746.0,4771.0,4788.0,4845.0,4931.0,5164.0,5197.0,2183.0,2306.0,2496.0,2603.0,2751.0,2327.0,2315.0,1230.0,1243.0,1312.0,1338.0,1347.0,1360.0,1512.0,1535.0,1474.0,2662.0,2596.0,2620.0,2559.0,2508.0,2468.0,2432.0,2403.0,2378.0,2398.0
Baillif (97123),/management/ville/baillif/ville-97104,1373.0,540.0,67.0,473.0,483.0,,287.0,,460.0,23.0,648.0,65.0,284.0,435.0,3.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,139.0,8.0,5.0,5.0,1412.0,1410.0,1398.0,1394.0,1352.0,1352.0,1338.0,1363.0,1373.0,625.0,671.0,655.0,685.0,714.0,561.0,540.0,524.0,528.0,558.0,508.0,484.0,494.0,497.0,483.0,483.0,764.0,748.0,722.0,717.0,697.0,686.0,655.0,633.0,648.0,648.0
Bouillante (97125),/management/ville/bouillante/ville-97106,1929.0,795.0,89.0,706.0,519.0,,317.0,,448.0,71.0,844.0,80.0,359.0,568.0,4.0,11.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,154.0,148.0,27.0,12.0,6.0,1896.0,1884.0,1962.0,1971.0,1941.0,1916.0,1929.0,1958.0,1929.0,896.0,940.0,1011.0,1034.0,1073.0,841.0,795.0,548.0,593.0,631.0,596.0,574.0,555.0,560.0,562.0,519.0,1078.0,1034.0,1026.0,1012.0,971.0,938.0,912.0,877.0,875.0,844.0
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,1270.0,518.0,50.0,468.0,423.0,,273.0,,377.0,46.0,636.0,75.0,277.0,440.0,5.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,139.0,113.0,8.0,10.0,6.0,1194.0,1196.0,1209.0,1242.0,1250.0,1258.0,1251.0,1291.0,1270.0,500.0,592.0,631.0,640.0,679.0,547.0,518.0,371.0,376.0,405.0,410.0,412.0,412.0,417.0,422.0,423.0,740.0,714.0,697.0,681.0,675.0,664.0,640.0,626.0,632.0,636.0
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,671.0,277.0,13.0,264.0,118.0,,67.0,,110.0,8.0,263.0,24.0,107.0,182.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,60.0,5.0,6.0,,659.0,662.0,661.0,662.0,674.0,657.0,667.0,666.0,671.0,265.0,290.0,317.0,331.0,350.0,277.0,277.0,122.0,127.0,135.0,130.0,139.0,140.0,138.0,126.0,118.0,378.0,371.0,362.0,350.0,339.0,322.0,304.0,295.0,283.0,263.0
Deshaies (97126),/management/ville/deshaies/ville-97111,922.0,345.0,21.0,324.0,204.0,,112.0,,185.0,19.0,445.0,39.0,136.0,277.0,4.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,81.0,7.0,5.0,,949.0,949.0,974.0,971.0,967.0,939.0,951.0,941.0,922.0,369.0,416.0,434.0,451.0,452.0,363.0,345.0,232.0,239.0,235.0,237.0,228.0,216.0,227.0,208.0,204.0,582.0,564.0,561.0,527.0,523.0,495.0,499.0,479.0,468.0,445.0
Goyave (97128),/management/ville/goyave/ville-97114,2160.0,792.0,132.0,660.0,975.0,,657.0,,954.0,21.0,1207.0,116.0,505.0,792.0,5.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,254.0,241.0,40.0,11.0,6.0,1956.0,2019.0,2026.0,2042.0,2056.0,2072.0,2053.0,2090.0,2160.0,727.0,798.0,874.0,935.0,981.0,783.0,792.0,1007.0,1036.0,1046.0,1049.0,1046.0,1049.0,996.0,956.0,975.0,1284.0,1312.0,1309.0,1301.0,1291.0,1262.0,1240.0,1182.0,1226.0,1207.0
La Désirade (97127),/management/ville/la-desirade/ville-97110,328.0,131.0,15.0,116.0,65.0,,27.0,34.0,,,121.0,15.0,30.0,81.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,,,317.0,311.0,306.0,300.0,315.0,316.0,309.0,325.0,328.0,127.0,134.0,151.0,170.0,167.0,148.0,131.0,50.0,55.0,56.0,56.0,52.0,53.0,55.0,57.0,65.0,184.0,173.0,164.0,153.0,153.0,148.0,128.0,124.0,132.0,121.0
Le Gosier (97190),/management/ville/le-gosier/ville-97113,7478.0,2773.0,259.0,2514.0,2539.0,,1333.0,1291.0,2487.0,52.0,3819.0,419.0,1226.0,2083.0,20.0,66.0,76.0,0.0,0.0,0.0,6.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,748.0,666.0,122.0,13.0,17.0,7011.0,7116.0,7140.0,7250.0,7327.0,7329.0,7374.0,7463.0,7478.0,2795.0,2970.0,3163.0,3266.0,3430.0,2881.0,2773.0,2398.0,2482.0,2513.0,2526.0,2587.0,2639.0,2671.0,2636.0,2539.0,4061.0,3996.0,4002.0,3957.0,3902.0,3810.0,3790.0,3694.0,3775.0,3819.0
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,2012.0,805.0,109.0,696.0,736.0,,481.0,,677.0,59.0,972.0,110.0,439.0,621.0,5.0,15.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,224.0,218.0,20.0,6.0,6.0,1800.0,1856.0,1895.0,1915.0,1872.0,1841.0,1853.0,1942.0,2012.0,781.0,849.0,871.0,890.0,928.0,789.0,805.0,706.0,725.0,792.0,767.0,725.0,710.0,728.0,748.0,736.0,1019.0,1028.0,1002.0,987.0,966.0,950.0,946.0,948.0,982.0,972.0
Lamentin (97129),/management/ville/lamentin/ville-97115,4342.0,1486.0,222.0,1264.0,1543.0,,1094.0,,1497.0,46.0,2592.0,349.0,1016.0,1483.0,8.0,15.0,47.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,577.0,536.0,105.0,17.0,16.0,3489.0,3534.0,3579.0,3632.0,3707.0,3921.0,3966.0,4226.0,4342.0,1288.0,1383.0,1479.0,1639.0,1745.0,1477.0,1486.0,1131.0,1109.0,1140.0,1128.0,1172.0,1368.0,1412.0,1569.0,1543.0,2269.0,2249.0,2227.0,2233.0,2288.0,2356.0,2318.0,2404.0,2500.0,2592.0
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,3719.0,1378.0,140.0,1238.0,1922.0,,1008.0,1024.0,1895.0,27.0,1352.0,154.0,711.0,983.0,21.0,22.0,108.0,2.0,6.0,3.0,4.0,3.0,5.0,8.0,1.0,3.0,2.0,3.0,0.0,4.0,1.0,1.0,2.0,260.0,258.0,16.0,5.0,8.0,3602.0,3687.0,3657.0,3646.0,3708.0,3670.0,3663.0,3725.0,3719.0,1406.0,1513.0,1677.0,1718.0,1718.0,1431.0,1378.0,1877.0,1970.0,1978.0,1969.0,2008.0,2027.0,2012.0,1987.0,1922.0,1667.0,1636.0,1588.0,1579.0,1580.0,1497.0,1452.0,1430.0,1404.0,1352.0
Les Abymes (97139),/management/ville/les-abymes/ville-97101,17726.0,7119.0,831.0,6288.0,8593.0,,4539.0,,8500.0,93.0,8224.0,1002.0,3848.0,5393.0,49.0,50.0,174.0,1.0,3.0,0.0,6.0,4.0,4.0,24.0,1.0,12.0,3.0,3.0,1.0,14.0,2.0,1.0,3.0,1709.0,1658.0,175.0,26.0,49.0,16710.0,16854.0,17029.0,16948.0,17210.0,17336.0,17140.0,17463.0,17726.0,7073.0,7505.0,8090.0,8431.0,8607.0,7334.0,7119.0,8122.0,8358.0,8603.0,8509.0,8657.0,8796.0,8689.0,8604.0,8593.0,9277.0,9108.0,8912.0,8806.0,8570.0,8481.0,8260.0,8093.0,8149.0,8224.0
Le Moule (97160),/management/ville/le-moule/ville-97117,6024.0,2428.0,261.0,2167.0,1929.0,,1161.0,,1766.0,163.0,3011.0,351.0,1155.0,1898.0,16.0,38.0,92.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0,0.0,7.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,570.0,546.0,65.0,12.0,10.0,5427.0,5521.0,5577.0,5623.0,5776.0,5800.0,5766.0,5875.0,6024.0,2321.0,2502.0,2709.0,2816.0,2862.0,2408.0,2428.0,1589.0,1683.0,1778.0,1789.0,1897.0,1915.0,1913.0,1925.0,1929.0,3232.0,3224.0,3158.0,3149.0,3135.0,3077.0,3017.0,2959.0,3030.0,3011.0
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,4469.0,1851.0,202.0,1649.0,1397.0,,923.0,,1370.0,27.0,2292.0,255.0,975.0,1484.0,8.0,21.0,42.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,454.0,442.0,52.0,8.0,10.0,4078.0,4180.0,4194.0,4169.0,4208.0,4280.0,4359.0,4442.0,4469.0,1762.0,1858.0,1986.0,2108.0,2234.0,1911.0,1851.0,1126.0,1283.0,1306.0,1313.0,1377.0,1402.0,1494.0,1451.0,1397.0,2390.0,2426.0,2386.0,2321.0,2328.0,2292.0,2295.0,2216.0,2238.0,2292.0
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,5802.0,1839.0,248.0,1591.0,1810.0,,1241.0,,1762.0,48.0,3424.0,345.0,1064.0,1763.0,15.0,29.0,65.0,0.0,1.0,0.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,688.0,599.0,139.0,13.0,12.0,4971.0,5016.0,5098.0,5166.0,5289.0,5314.0,5462.0,5562.0,5802.0,1659.0,1778.0,1975.0,2098.0,2237.0,1846.0,1839.0,1637.0,1647.0,1706.0,1723.0,1800.0,1777.0,1851.0,1842.0,1810.0,3199.0,3213.0,3262.0,3296.0,3315.0,3239.0,3317.0,3307.0,3433.0,3424.0
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,1875.0,725.0,88.0,637.0,392.0,,252.0,,350.0,42.0,973.0,104.0,324.0,633.0,4.0,12.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,190.0,196.0,13.0,6.0,5.0,1741.0,1748.0,1855.0,1841.0,1838.0,1828.0,1768.0,1835.0,1875.0,768.0,796.0,850.0,875.0,860.0,723.0,725.0,323.0,359.0,403.0,400.0,413.0,411.0,415.0,409.0,392.0,1111.0,1110.0,1129.0,1085.0,1061.0,1027.0,980.0,956.0,967.0,973.0
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,1756.0,780.0,67.0,713.0,427.0,,247.0,,406.0,21.0,734.0,81.0,305.0,501.0,5.0,6.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,125.0,178.0,5.0,10.0,5.0,1745.0,1745.0,1765.0,1795.0,1781.0,1765.0,1707.0,1706.0,1756.0,919.0,979.0,1014.0,1021.0,988.0,794.0,780.0,375.0,396.0,401.0,395.0,405.0,395.0,403.0,387.0,427.0,939.0,921.0,899.0,887.0,854.0,825.0,771.0,716.0,732.0,734.0
Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120,6433.0,2576.0,303.0,2273.0,4429.0,,,2778.0,4415.0,14.0,2220.0,312.0,1198.0,1565.0,31.0,40.0,148.0,2.0,7.0,2.0,4.0,6.0,10.0,22.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,500.0,495.0,26.0,6.0,20.0,6543.0,6464.0,6282.0,6272.0,6492.0,6514.0,6503.0,6525.0,6433.0,2396.0,2602.0,2808.0,2942.0,3051.0,2663.0,2576.0,4438.0,4443.0,4394.0,4389.0,4628.0,4726.0,4722.0,4624.0,4429.0,2568.0,2520.0,2391.0,2370.0,2369.0,2371.0,2317.0,2270.0,2235.0,2220.0
Saint-Claude (97120),/management/ville/saint-claude/ville-97124,2439.0,654.0,61.0,593.0,938.0,,446.0,536.0,912.0,26.0,1198.0,127.0,332.0,584.0,4.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,207.0,179.0,42.0,5.0,6.0,2085.0,2130.0,2169.0,2275.0,2279.0,2277.0,2269.0,2320.0,2439.0,761.0,812.0,856.0,867.0,891.0,677.0,654.0,777.0,817.0,815.0,882.0,887.0,945.0,962.0,943.0,938.0,1183.0,1198.0,1168.0,1173.0,1157.0,1132.0,1080.0,1054.0,1156.0,1198.0
